controller,seed,family,regime,mean_tracking_loss,tracking_rmse,mean_action_cost,hard_violations,tracking_pass,failure_rate,recovery_fraction,mean_recovery_steps,recovery_censored,initial_tail_loss,return_tail_loss,return_loss_change,mean_stockout,mean_overflow,censored_transition_fraction,action_seconds,learning_seconds,controller_seconds
paired,62008,cooperative_inventory,diagonal,0.008556196532088362,0.0924997109838099,3.070410038372373,0,True,0.0,1.0,4.0,0,0.00039188760621630756,7.568336158134954e-05,-0.000316204244634958,0.0010278560076068598,8.800408467306297e-05,0.1904296875,0.09338866206235252,0.019014084005902987,0.11240274606825551
paired_lesion,62008,cooperative_inventory,diagonal,0.009204303694931446,0.09593906240385845,3.1585663305309453,0,True,0.0,1.0,4.666666666666667,0,0.0007804570530980726,0.00031005061810055796,-0.00047040643499751466,0.0005906635802437326,0.0001256982362112986,0.12109375,0.10321023305004928,0.01978160597354872,0.122991839023598
shuffled,62008,cooperative_inventory,misaligned,0.009519791735065192,0.097569420081628,3.0390799987695134,0,True,0.0,1.0,4.333333333333333,0,0.0004131757292561348,0.00044765356905202133,3.447783979588652e-05,0.0019848043593269442,0.0005132868141781324,0.2568359375,0.07732511300127953,0.018301327982044313,0.09562644098332385
dense,62008,cooperative_inventory,misaligned,0.00831698142460949,0.09119748584588004,3.000764985942975,0,True,0.0,1.0,4.0,0,0.00011298900366315718,5.551567895522453e-05,-5.747332470793265e-05,0.0012305334009881583,4.714772899832014e-05,0.138671875,0.07378905998484697,0.018852574983611703,0.09264163496845867
signed_intensity,62008,cooperative_inventory,misaligned,0.009358928258282238,0.09674155393770682,3.0339441743044846,0,True,0.0,1.0,4.333333333333333,0,0.00019322362554775882,0.00017184479976762573,-2.1378825780133087e-05,0.001942396006686495,0.0003907240593378914,0.2265625,0.088228321976203,0.018680507979297545,0.10690882995550055
zero,62008,cooperative_inventory,misaligned,0.08200526439038147,0.286365613142328,0.0,0,False,1.0,0.0,,3,0.09152089565289714,0.09152089565289714,0.0,0.012163009911247335,0.0,0.958984375,0.0016633790583000518,0.00025469202955719084,0.0019180710878572427
hold,62008,cooperative_inventory,misaligned,0.04017399501470909,0.20043451552741381,2.3682319040848414,0,False,1.0,0.3333333333333333,1.0,2,0.039317504503256724,0.03645226562321499,-0.002865238880041733,0.0005650132028903746,0.0,0.0615234375,0.0016238860043813474,0.0002661900580278598,0.0018900760624092072
paired,62008,cooperative_inventory,misaligned,0.009358928258282238,0.09674155393770682,3.0339441743044846,0,True,0.0,1.0,4.333333333333333,0,0.00019322362554775895,0.00017184479976762592,-2.1378825780133033e-05,0.001942396006686495,0.00039072405933789095,0.2265625,0.07864598100422882,0.016858409966516774,0.09550439097074559
paired_lesion,62008,cooperative_inventory,misaligned,0.00985668833729525,0.09928085584489715,3.0907451564098967,0,True,0.0,1.0,4.333333333333333,0,0.0011548414812715393,0.0010338128319988737,-0.0001210286492726656,0.0020179565324272885,0.0005980207817418728,0.251953125,0.09826303399313474,0.01709344099072041,0.11535647498385515
diagonal,62008,cooperative_inventory,misaligned,0.009551758119347293,0.09773309633561854,3.069367520401873,0,True,0.0,1.0,4.333333333333333,0,0.0010966417343245562,0.0004121232507607631,-0.0006845184835637931,0.0020821809457945884,0.0005714494778251509,0.2568359375,0.07964909302972956,0.026955612964229658,0.10660470599395921
paired_lesion,62009,dynamic_tracking,paired,0.017344011817703477,0.1316966659323746,2.7248772020163567,0,True,0.0,1.0,3.6666666666666665,0,0.009790496258397608,0.007249162435708377,-0.0025413338226892308,,,,0.06804203397769015,0.02361422796820989,0.09165626194590004
diagonal,62009,dynamic_tracking,paired,0.012120082771755056,0.11009124748023821,2.5745762971100206,0,True,0.0,1.0,4.666666666666667,0,0.0024412533396525717,0.005244031859574234,0.0028027785199216627,,,,0.06662440104264533,0.024642310956551228,0.09126671199919656
shuffled,62009,dynamic_tracking,paired,0.007182971621954743,0.08475241366447768,2.5937654163385293,0,True,0.0,1.0,1.0,0,0.0022643837281132104,0.0032783834261772156,0.0010139996980640053,,,,0.06731114903232083,0.024431526973785367,0.0917426760061062
dense,62009,dynamic_tracking,paired,0.0027475184943713407,0.052416776840734314,2.473178621941577,0,True,0.0,1.0,1.0,0,5.872657982583694e-05,0.00014004800759639903,8.132142777056209e-05,,,,0.06604231299570529,0.023614199984876905,0.08965651298058219
signed_intensity,62009,dynamic_tracking,paired,0.009429324399469901,0.09710470843100195,2.542374028662625,0,True,0.0,1.0,5.333333333333333,0,0.0004218493458871265,0.0023419505662064834,0.001920101220319357,,,,0.07523537996166851,0.026278749959601555,0.10151412992127007
zero,62009,dynamic_tracking,paired,0.19726745601065532,0.4441480113775759,0.0,0,False,1.0,0.0,,3,0.1766243082367826,0.17416590081873987,-0.002458407418042735,,,,0.0016290260682580993,0.0002519750487408601,0.0018810011169989593
hold,62009,dynamic_tracking,paired,0.0875194475599536,0.2958368597047258,2.1454489131568812,0,False,1.0,0.0,,3,0.08754501032000217,0.0859249819313381,-0.0016200283886640687,,,,0.0016401800385210663,0.0002338910344406031,0.0018740710729616694
paired,62009,dynamic_tracking,paired,0.009429324399469901,0.09710470843100195,2.542374028662625,0,True,0.0,1.0,5.333333333333333,0,0.0004218493458871265,0.002341950566206483,0.0019201012203193565,,,,0.06711177898250753,0.024427223062957637,0.09153900204546517
diagonal,62009,dynamic_tracking,diagonal,0.0029344378857532397,0.054170452146472245,2.549936294245007,0,True,0.0,1.0,1.0,0,0.0006603929822678524,0.0004844410671486834,-0.00017595191511916906,,,,0.06421806604339508,0.024158353051461745,0.08837641909485683
shuffled,62009,dynamic_tracking,diagonal,0.0021269240885739863,0.04611858723523506,2.5058182871128567,0,True,0.0,1.0,1.0,0,0.0002999138890704932,0.00030090841066554303,9.945215950498505e-07,,,,0.07210658898839029,0.025617269006033894,0.09772385799442418
dense,62009,dynamic_tracking,diagonal,0.0015390083702168961,0.03923019717280167,2.4492568772935166,0,True,0.0,1.0,1.0,0,5.3103106059258675e-05,6.922915912095607e-05,1.6126053061697398e-05,,,,0.06898855597682996,0.02487805805867538,0.09386661403550534
