split,task,seed,controller,mean_compute_us,tracking_rmse,mean_regret,mean_cost,hard_violations,mean_recovery_steps,recovery_censored,recovery_events,recovery_fraction,recall_regret,reacquisition_regret,effect_discrimination,effect_target_correlation,mean_node_homogeneity,mean_temporal_action_cosine,external_pass
heldout,gain_resource_shift,1023,zero,11.927833333333334,0.42671998933912547,0.16465261642342713,0.0,0,,5,5,0.0,,,-1.2780521083065582e-06,-0.00031941302200166004,1.0,,False
heldout,gain_resource_shift,1024,zero,12.045572916666666,0.4384045655504714,0.17437537864042144,0.0,0,,5,5,0.0,,,-1.8956468442246025e-05,-0.008774394103398364,1.0,,False
heldout,gain_resource_shift,1025,zero,33.36238541666666,0.4207419552240979,0.16168801636982696,0.0,0,,5,5,0.0,,,-1.0520117765008548e-05,-0.0022574555853134603,1.0,,False
heldout,gain_resource_shift,1026,zero,13.686322916666667,0.4664306241622049,0.1939885481548025,0.0,0,,5,5,0.0,,,6.864109457800887e-05,0.02956597869548524,1.0,,False
heldout,gain_resource_shift,1027,zero,12.437354166666665,0.43844848881146836,0.17451643067166134,0.0,0,,5,5,0.0,,,2.2001710109378968e-05,0.011149465910453555,1.0,,False
heldout,gain_resource_shift,1028,zero,13.9619375,0.4384264648827921,0.1739804218037746,0.0,0,,5,5,0.0,,,-2.314552584402503e-05,-0.012404707887118505,1.0,,False
heldout,gain_resource_shift,1029,zero,15.904125,0.44418507551702835,0.17840188416160707,0.0,0,,5,5,0.0,,,-3.9405301830617526e-05,-0.014981463768922803,1.0,,False
heldout,gain_resource_shift,1030,zero,13.032947916666666,0.42671374251328253,0.1657132849695525,0.0,0,,5,5,0.0,,,-8.446365845900835e-06,-0.0035823028155645797,1.0,,False
heldout,switching_memory,1001,zero,13.313958333333334,0.4134941589896126,0.17097430974210534,0.0,0,,5,5,0.0,0.16876652624515578,0.1686698938923765,8.520600974558454e-07,0.00036062703421910365,1.0,,False
heldout,switching_memory,1002,zero,15.506822916666666,0.4162428041361054,0.1732551023560107,0.0,0,,5,5,0.0,0.1687732834887941,0.16876366959739317,-6.563397205472518e-06,-0.002830239757626711,1.0,,False
heldout,switching_memory,1003,zero,12.36996875,0.44114650463723487,0.19460698024246678,0.0,0,,5,5,0.0,0.1957647381418064,0.1957779234999375,5.724237189705188e-06,0.002356964290772422,1.0,,False
heldout,switching_memory,1004,zero,13.011052083333334,0.4242553258970535,0.17998936044908254,0.0,0,,5,5,0.0,0.1822409834190614,0.18223185072516343,-4.2065404027766306e-05,-0.017578330707589074,1.0,,False
heldout,switching_memory,1005,zero,14.357510416666667,0.41077715405153775,0.16873492691978695,0.0,0,,5,5,0.0,0.16878985219925888,0.16872501040923862,3.563093565410707e-05,0.015343278273741255,1.0,,False
heldout,switching_memory,1006,zero,12.906541666666666,0.3968496370458766,0.1574865267433293,0.0,0,,5,5,0.0,0.16196488830423872,0.16196795176682072,-1.7894737102085384e-05,-0.007549636755364968,1.0,,False
heldout,switching_memory,1007,zero,14.207895833333334,0.41759604799041156,0.1743834233516545,0.0,0,,5,5,0.0,0.17547559682152963,0.1755169643949668,-2.8393275051743572e-05,-0.012286361059913186,1.0,,False
heldout,switching_memory,1008,zero,11.687770833333333,0.3911255279013851,0.15297618937266486,0.0,0,,5,5,0.0,0.14847072392183858,0.14848602559970828,1.6558029191875113e-05,0.007024052483348375,1.0,,False
heldout,switching_memory,1009,zero,11.798072916666666,0.39686858594351637,0.15750183070493487,0.0,0,,5,5,0.0,0.15529354905410164,0.15521331204422467,-6.513532670439424e-06,-0.002839829937489161,1.0,,False
heldout,switching_memory,1010,zero,14.163458333333335,0.4052778430479229,0.1642472459204474,0.0,0,,5,5,0.0,0.1619909699879145,0.16200459398045403,2.7539130267057268e-05,0.012049922943298702,1.0,,False
heldout,switching_memory,1011,zero,12.78246875,0.44876468572247885,0.20138656071379724,0.0,0,,5,5,0.0,0.19574437724503707,0.1957831488507515,-3.629204923328536e-05,-0.015369885883250304,1.0,,False
heldout,switching_memory,1012,zero,12.634541666666665,0.43475756843265645,0.18901098765027605,0.0,0,,5,5,0.0,0.19567975279407732,0.1958163382239768,-3.3265560617294436e-05,-0.014257574504466545,1.0,,False
heldout,switching_memory,1013,zero,12.75696875,0.4242771274677502,0.18000794623612082,0.0,0,,5,5,0.0,0.18225231361433097,0.1822813559259472,2.2025141322756835e-06,0.0009358726427800262,1.0,,False
heldout,switching_memory,1014,zero,14.150729166666666,0.3897273571028793,0.15188453389509982,0.0,0,,5,5,0.0,0.15528621372534862,0.15528321062805367,-3.26076264528935e-05,-0.01410183677966973,1.0,,False
heldout,switching_memory,1015,zero,12.842833333333333,0.3853512478911787,0.14849268445806696,0.0,0,,5,5,0.0,0.14849459352864985,0.14845223733889595,-8.333749297793533e-06,-0.0035459444444097313,1.0,,False
heldout,switching_memory,1016,zero,14.032020833333334,0.4039095737785458,0.16313992254260998,0.0,0,,5,5,0.0,0.16200021514759277,0.16205799876265664,-5.225195305975103e-05,-0.022820017346604937,1.0,,False
heldout,switching_memory,1017,zero,13.483,0.40665647052926923,0.1653664611075589,0.0,0,,5,5,0.0,0.1620268489626387,0.16200184414783475,1.9255127939608483e-05,0.008370001764384329,1.0,,False
heldout,switching_memory,1018,zero,13.27196875,0.42687763308228344,0.1822213760114936,0.0,0,,5,5,0.0,0.18228318433991778,0.18224742079371242,2.59595756943393e-05,0.010777371295062222,1.0,,False
heldout,switching_memory,1019,zero,13.994447916666665,0.410788430370722,0.16874413981645628,0.0,0,,5,5,0.0,0.1687909367923024,0.1686979471406295,2.94800998119891e-05,0.012804019135920358,1.0,,False
heldout,switching_memory,1020,zero,13.00321875,0.40665064612320595,0.1653617938923375,0.0,0,,5,5,0.0,0.17548238585600962,0.1754379225088064,4.342795866559544e-05,0.018398986486919823,1.0,,False
heldout,switching_memory,1021,zero,15.631395833333334,0.40800438440826703,0.1664645275425164,0.0,0,,5,5,0.0,0.16196657921209714,0.16192193339231659,5.9177029305524146e-05,0.024958187721898523,1.0,,False
heldout,switching_memory,1022,zero,13.958614583333334,0.3968717156773444,0.15750419081043768,0.0,0,,5,5,0.0,0.15527592512736682,0.1552246210287725,-4.941775122339301e-05,-0.021448383103017315,1.0,,False
heldout,switching_memory,1023,zero,12.162020833333333,0.4052939599999099,0.16426027204518565,0.0,0,,5,5,0.0,0.16869909131165056,0.16878962905089398,1.1012130425522618e-05,0.004829529740006689,1.0,,False
heldout,switching_memory,1024,zero,13.524708333333335,0.3704723158055828,0.13724690477752446,0.0,0,,5,5,0.0,0.12825679201937767,0.12826424944986964,-2.385145973289192e-05,-0.010110736227591162,1.0,,False
heldout,switching_memory,1025,zero,12.381104166666667,0.41353176766092425,0.17100551160930325,0.0,0,,5,5,0.0,0.16875837450731423,0.1687634786717112,-9.236484691656959e-06,-0.003935176292515343,1.0,,False
heldout,switching_memory,1026,zero,17.615322916666667,0.42025309822318485,0.17660954351965433,0.0,0,,5,5,0.0,0.18222205765346286,0.18220414656721579,-2.421751971093313e-06,-0.0010273814783368826,1.0,,False
heldout,switching_memory,1027,zero,14.075572916666665,0.37796615351378515,0.1428553057927344,0.0,0,,5,5,0.0,0.14171407557335766,0.14173834559848913,-2.1512031927888508e-05,-0.008896402856195957,1.0,,False
heldout,switching_memory,1028,zero,13.043833333333334,0.39261771368415765,0.15414578634002216,0.0,0,,5,5,0.0,0.14850095017666026,0.14849281511315504,-5.090263609215e-05,-0.022443094449537085,1.0,,False
heldout,switching_memory,1029,zero,14.593395833333334,0.41078357312354175,0.1687400305423845,0.0,0,,5,5,0.0,0.16875320204028788,0.16869461350841358,-2.2773468656423043e-05,-0.009471315010913646,1.0,,False
heldout,switching_memory,1030,zero,15.413385416666666,0.40247310469238445,0.16198151797312077,0.0,0,,5,5,0.0,0.16195180099256487,0.16201374695343274,1.568210802066342e-05,0.0066899627566783144,1.0,,False
development,gain_resource_shift,101,uniform,20.90234375,0.3397516749820778,0.08981441677960289,11.25,0,,5,5,0.0,,,-0.022453738827488995,-0.08567989388657936,0.9999576336624791,0.9997795475211191,False
development,gain_resource_shift,102,uniform,34.99339583333334,0.3422143902643904,0.09008935229994534,11.549999999999999,0,,5,5,0.0,,,-0.03018435300942182,-0.10758050441862901,0.9999576336624791,0.9997795475211191,False
development,gain_resource_shift,103,uniform,20.20023958333333,0.32700893321783114,0.08707271898482755,9.75,0,,5,5,0.0,,,-0.01177004417000549,-0.061782351805898174,0.9999576336624791,0.9997795475211192,False
development,gain_resource_shift,104,uniform,19.870739583333332,0.33049342986328545,0.08823115989153481,10.049999999999999,0,,5,5,0.0,,,-0.017282624951000025,-0.09255597769427522,0.9999576336624791,0.9997795475211192,False
development,gain_resource_shift,105,uniform,23.203645833333333,0.34154251674412067,0.0894234350746181,11.25,0,,5,5,0.0,,,-0.027532889740704947,-0.11115254198922415,0.9999576336624791,0.9997795475211191,False
development,switching_memory,101,uniform,19.789739583333333,0.29961606221516507,0.08976670964039575,14.700000000000003,0,,5,5,0.0,0.08998651590407905,0.09001223117189294,0.0013017358997927109,0.04610696956105461,1.0,1.0,False
development,switching_memory,102,uniform,23.450052083333333,0.29360237237163944,0.08619960234315094,12.000000000000002,0,,5,5,0.0,0.08998525297637142,0.08434036576181347,0.004524762567553409,0.06256278211179964,1.0,1.0,False
development,switching_memory,103,uniform,22.42472916666667,0.29947418712156326,0.08968196336193146,14.300000000000004,0,,5,5,0.0,0.09003806209673211,0.08986536078202223,0.0021341223194043524,0.05801921361101091,1.0,1.0,False
development,switching_memory,104,uniform,21.98573958333333,0.29875456268817413,0.08925130658325175,14.300000000000002,0,,5,5,0.0,0.09007427051529816,0.08987937989331422,0.005020742407214673,0.09129752347773337,1.0,0.9999999999999999,False
development,switching_memory,105,uniform,22.63398958333333,0.2989519473552842,0.08936933286741965,14.899999999999999,0,,5,5,0.0,0.08996284284667677,0.08943101880015608,0.0032718585495453145,0.06988378861408534,1.0,0.9999999999999999,False
heldout,gain_resource_shift,1001,uniform,36.851385416666666,0.32166852449969635,0.08550138515881624,10.019999999999998,0,,5,5,0.0,,,-0.015059852177700922,-0.06924280067493427,0.9999576336624791,0.9997795475211192,False
heldout,gain_resource_shift,1002,uniform,20.017947916666667,0.32197452158265916,0.08537999582895545,10.019999999999998,0,,5,5,0.0,,,-0.022733185173528014,-0.10413098606813619,0.9999576336624791,0.9997795475211193,False
heldout,gain_resource_shift,1003,uniform,28.493177083333332,0.3295691332920573,0.0871394729153235,11.159999999999998,0,,5,5,0.0,,,-0.02029807474902348,-0.07241430292905636,0.9999576336624791,0.9997795475211192,False
heldout,gain_resource_shift,1004,uniform,23.099958333333333,0.31923151221312274,0.08487919744396022,9.735,0,,5,5,0.0,,,-0.015030042219399048,-0.07512188594231443,0.9999576336624791,0.9997795475211192,False
