seed,family,topology,resource,mode,loss,cost,post_switch_loss,return_loss,saturation,violations,runtime_seconds
901036,congestion,rewired,scarce,rewired,0.019398541938376087,0.38077586046747935,0.03244324668063156,0.0008463709928283583,0.03125,0,0.018168814000773637
901036,congestion,rewired,scarce,reverse,0.019398541938376087,0.38077586046747935,0.03244324668063156,0.0008463709928283583,0.03125,0,0.01867481400086035
901036,congestion,rewired,scarce,generic_nonlinear,0.019398541938376087,0.38077586046747935,0.03244324668063156,0.0008463709928283583,0.03125,0,0.016883839999877637
901036,congestion,rewired,scarce,generic_equivalent,0.019398541938376087,0.38077586046747935,0.03244324668063156,0.0008463709928283583,0.03125,0,0.016530647999502435
901036,congestion,rewired,scarce,signed_intensity,0.019398541938376087,0.38077586046747935,0.03244324668063156,0.0008463709928283583,0.03125,0,0.03826518199957718
901036,congestion,rewired,scarce,gradient,0.020371424291005323,0.38215911569195754,0.03617929628308895,0.00200103223468335,0.03125,0,0.016568153000093844
901036,congestion,rewired,scarce,zero_negative,0.19593955871226498,0.0,0.22552499187783281,0.155355592727397,1.0,0,0.014857846999916546
901036,congestion,absent,ample,full,0.019792994650098275,0.4052569471001769,0.027950137353142144,7.57475538993773e-05,0.03125,0,0.018527031999042265
901036,congestion,absent,ample,no_K,0.019792994650098275,0.4052569471001769,0.027950137353142144,7.57475538993773e-05,0.03125,0,0.018709379999677367
901036,congestion,absent,ample,no_W,0.019792994650098275,0.4052569471001769,0.027950137353142144,7.57475538993773e-05,0.03125,0,0.017876703999945676
901036,congestion,absent,ample,no_WK,0.019792994650098275,0.4052569471001769,0.027950137353142144,7.57475538993773e-05,0.03125,0,0.018348781999861785
901036,congestion,absent,ample,retuned_zero,0.019792994650098275,0.4052569471001769,0.027950137353142144,7.57475538993773e-05,0.03125,0,0.018259060000218597
901036,congestion,absent,ample,rewired,0.019792994650098275,0.4052569471001769,0.027950137353142144,7.57475538993773e-05,0.03125,0,0.01857878899932075
901036,congestion,absent,ample,reverse,0.019792994650098275,0.4052569471001769,0.027950137353142144,7.57475538993773e-05,0.03125,0,0.01858004999928653
901036,congestion,absent,ample,generic_nonlinear,0.019792994650098275,0.4052569471001769,0.027950137353142144,7.57475538993773e-05,0.03125,0,0.0166414410005018
901036,congestion,absent,ample,generic_equivalent,0.019792994650098275,0.4052569471001769,0.027950137353142144,7.57475538993773e-05,0.03125,0,0.016284927999890897
901036,congestion,absent,ample,signed_intensity,0.019792994650098275,0.4052569471001769,0.027950137353142144,7.57475538993773e-05,0.03125,0,0.029347331999588278
901036,congestion,absent,ample,gradient,0.019921465954933864,0.4054993032662727,0.028601120229066912,0.0002600658566207844,0.03125,0,0.01656621099914446
