candidate,kind,replicate,mean_selection_loss,train_steps,train_seconds,actor_parameters
ppo-37,ppo,1,105.35754379381734,32768,38.740057794999984,10968
ppo-37,ppo,2,105.34289696160704,32768,38.89002937399994,10968
ppo-38,ppo,0,104.22843369882968,32768,42.114316992999875,10968
ppo-38,ppo,1,95.41148084712525,32768,42.23724592299982,10968
ppo-38,ppo,2,104.63676605240714,32768,42.04868602600004,10968
ppo-39,ppo,0,111.45974925657113,32768,30.139847310999926,10968
ppo-39,ppo,1,75.61987962268499,32768,30.259008590000008,10968
ppo-39,ppo,2,45.05976574280712,32768,30.01635189000001,10968
ppo-40,ppo,0,106.57237331667501,32768,38.94543624700009,10968
ppo-40,ppo,1,50.675642438129415,32768,39.408672294999974,10968
ppo-40,ppo,2,106.98025635133187,32768,39.313624529000094,10968
ppo-41,ppo,0,92.9823477417748,32768,42.217781866999985,10968
ppo-41,ppo,1,109.13470752237158,32768,42.306603827,10968
ppo-41,ppo,2,88.19057850793212,32768,42.02405703900001,10968
sac-00,sac,0,100.73803930044069,32768,65.31240797600003,11736
sac-00,sac,1,108.53587072446113,32768,65.83504080600005,11736
sac-00,sac,2,107.48603397276666,32768,65.85716639299994,11736
sac-01,sac,0,103.03197677807312,32768,66.78987696600007,11736
sac-01,sac,1,99.80067185946974,32768,68.78920726500007,11736
sac-01,sac,2,102.76084924072751,32768,68.66732368199996,11736
sac-02,sac,0,103.0333170193157,32768,62.136935773000005,11736
sac-02,sac,1,108.99112672237,32768,61.66331208700001,11736
sac-02,sac,2,112.22747676136593,32768,61.661047552000014,11736
sac-03,sac,0,105.8679549813581,32768,66.64316537000013,11736
sac-03,sac,1,109.11251390037232,32768,67.11486977499999,11736
sac-03,sac,2,85.85323646312786,32768,67.91285645800008,11736
sac-04,sac,0,108.85925113140708,32768,32.34042596300003,11736
sac-04,sac,1,101.6083377171308,32768,32.52411987000005,11736
sac-04,sac,2,104.09189778447357,32768,32.94832932700001,11736
sac-05,sac,0,102.43440053653387,32768,47.52122123099991,11736
sac-05,sac,1,105.94292757048323,32768,47.90975719800008,11736
sac-05,sac,2,106.1649678517133,32768,47.73871979299997,11736
sac-06,sac,0,102.2161879344696,32768,67.87219290000007,11736
sac-06,sac,1,106.16069256990319,32768,66.87334910599998,11736
sac-06,sac,2,104.98406660018695,32768,67.32040010800006,11736
sac-07,sac,0,102.57671054882103,32768,64.568282845,11736
sac-07,sac,1,104.27147884025341,32768,64.80033375599999,11736
sac-07,sac,2,110.21372069920308,32768,64.97818141700009,11736
sac-08,sac,0,103.44280920182875,32768,68.47803419699994,11736
sac-08,sac,1,104.00819908082485,32768,68.19828426799995,11736
sac-08,sac,2,102.80849670944735,32768,67.79041984200012,11736
sac-09,sac,0,104.82214440192114,32768,61.402708342000096,11736
sac-09,sac,1,103.85558017705462,32768,61.38794091,11736
