controller,seed,family,regime,mean_tracking_loss,tracking_rmse,mean_action_cost,hard_violations,tracking_pass,failure_rate,recovery_fraction,mean_recovery_steps,recovery_censored,initial_tail_loss,return_tail_loss,return_loss_change,mean_stockout,mean_overflow,censored_transition_fraction,action_seconds,learning_seconds,controller_seconds
zero,52002,cooperative_inventory,paired,0.08441024976926954,0.29053442097154264,0.0,0,False,1.0,0.0,,3,0.07735939715440224,0.07735939715440224,0.0,0.011582163809337416,0.0,0.962890625,0.001709132018731907,0.0002802170056384057,0.0019893490243703127
hold,52002,cooperative_inventory,paired,0.04202125009976117,0.2049908536978203,2.3346657199016807,0,False,1.0,0.3333333333333333,7.0,2,0.03576041583353716,0.03445534020860753,-0.0013050756249296316,0.0004783831431536644,0.0,0.0576171875,0.0019426719591137953,0.00025816302513703704,0.0022008349842508323
paired,52002,cooperative_inventory,paired,0.009425969291132716,0.09708743116970762,3.1232159995898496,0,True,0.0,1.0,4.666666666666667,0,0.00043696149779935407,6.739446507880767e-05,-0.0003695670327205464,0.0013219587806274954,0.0015580126761018888,0.208984375,0.09621348799555562,0.018058970948914066,0.11427245894446969
paired_lesion,52002,cooperative_inventory,paired,0.009944437183237217,0.0997217989370289,3.1757925103625726,0,True,0.0,1.0,4.666666666666667,0,0.0009579604247753587,0.0015549509257215984,0.0005969905009462397,0.0016153455652739537,0.0018296072941824926,0.2919921875,0.10236447400529869,0.01657492996309884,0.11893940396839753
diagonal,52002,cooperative_inventory,paired,0.009764255222463332,0.09881424605016896,3.1931278599962143,0,True,0.0,1.0,4.666666666666667,0,0.0009899939333294886,0.000579041988514595,-0.00041095194481489353,0.0015836267407011305,0.0020056828337264854,0.2890625,0.10586008400423452,0.016269453029963188,0.12212953703419771
dense,52002,cooperative_inventory,diagonal,0.008653926483734383,0.09302648270108026,3.1328879720833074,0,True,0.0,1.0,4.666666666666667,0,0.0001253920617261241,8.890791905296446e-05,-3.6484142673159635e-05,0.0009709609333069676,0.0008092956716977404,0.1962890625,0.08921293795719976,0.029501821016310714,0.11871475897351047
signed_intensity,52002,cooperative_inventory,diagonal,0.008666279392640586,0.09309285360671132,3.1445569372507327,0,True,0.0,1.0,4.666666666666667,0,0.00038834183881610956,0.00010735947130734843,-0.00028098236750876115,0.0008894184389181018,0.0005236711586935481,0.22265625,0.0979457459616242,0.0181360880160355,0.1160818339776597
zero,52002,cooperative_inventory,diagonal,0.07419975385284439,0.27239631761983196,0.0,0,False,1.0,0.0,,3,0.07301533927997826,0.07301533927997826,0.0,0.011582163809337416,0.0,0.962890625,0.0018105859926436096,0.00029833898588549346,0.002108924978529103
hold,52002,cooperative_inventory,diagonal,0.04358117383581148,0.208761044823529,2.3346657199016807,0,False,1.0,0.3333333333333333,0.0,2,0.04484324132970132,0.04419937725928833,-0.0006438640704129889,0.00023745815044915543,0.0,0.029296875,0.0018091240199282765,0.0002673779963515699,0.0020765020162798464
paired,52002,cooperative_inventory,diagonal,0.008666279392640586,0.09309285360671132,3.1445569372507327,0,True,0.0,1.0,4.666666666666667,0,0.0003883418388161096,0.0001073594713073483,-0.0002809823675087613,0.0008894184389181018,0.0005236711586935483,0.22265625,0.10333472000638722,0.019614030956290662,0.12294875096267788
