seed,variant,tracking_rmse,mean_regret,mean_cost,hard_violations,mean_recovery_steps,recovery_censored,recovery_events,recovery_fraction,recall_regret,reacquisition_regret,effect_discrimination,effect_target_correlation,mean_node_homogeneity,mean_temporal_action_cosine,external_pass
1013,gate_small_action_updates,0.05305918239523784,0.0028121421802863914,14.51304053524053,0,0.6,0,5,1.0,0.011594133714797223,0.00010660637270379494,0.5324468978262897,0.9841699982858099,0.9586030662457773,0.9857871843045812,True
1014,dual_pole,0.0551954916459559,0.0030436633187433822,12.16759548805409,0,0.8,0,5,1.0,0.011749156858563346,9.324815028968959e-05,0.5303865600483374,0.9827658939095356,0.9602285587468634,0.9848015391183742,True
1014,recurrent,0.05694751806096884,0.0032401408340089663,12.183380676597451,0,1.2,0,5,1.0,0.010950464681513403,9.344667287740833e-05,0.5310813021978127,0.9813352373804524,0.9601768946062964,0.975520584737823,True
1014,no_self_model,0.04950448830906877,0.0024478153834473215,12.23596202425171,0,0.6,0,5,1.0,0.010150659335531071,9.287857161628373e-05,0.5334249223645073,0.986340358318505,0.9599529682507505,0.9847581924934382,True
1014,reset_capacity_recall,0.0526139992796583,0.002765353940904479,12.192965085178528,0,0.6,0,5,1.0,0.010141856235419286,9.280593250075899e-05,0.5315141035186862,0.9844780152436912,0.960091187282543,0.9847730946705602,True
1014,reset_gain_only_recall,0.05270874251927165,0.0027753325586674683,12.19291826177861,0,0.6,0,5,1.0,0.01013999349800012,9.280458431344943e-05,0.5315120144931982,0.9844106743266754,0.9600883647031208,0.984748418892787,True
1014,freeze_capacity_recall,0.06627355296394105,0.004389304843168894,12.080493544425485,0,0.5,1,5,0.8,0.01885936411812926,0.0015073654425066046,0.5265174504682396,0.9742836591721046,0.9605893792047259,0.984815601373616,False
1014,reset_freeze_capacity_recall,0.052013205955879584,0.0027024946145133414,12.20026742640316,0,0.6,0,5,1.0,0.010151600077306349,9.28951298619455e-05,0.5318386845303082,0.984854330590007,0.9600379260924944,0.9847929471253447,True
1014,unit_confidence_recall,0.03898647469828224,0.0015170662301043957,12.66697726877418,0,0.6,0,5,1.0,0.002682534466089225,2.8827604664087687e-07,0.5525813064689377,0.9906896204792837,0.9573794928055105,0.9844944942176801,True
1014,zero_noise,0.049425797881904474,0.0024429094962628724,12.23596202425171,0,0.6,0,5,1.0,0.010137646465722912,9.047367071173265e-05,0.5341915757096437,0.9864001506815621,0.9599529682507505,0.9847581924934382,True
1014,gate_small_action_updates,0.04951023022419102,0.0024483839175569928,12.234954988691428,0,0.6,0,5,1.0,0.01013278183295352,9.280428174142308e-05,0.5333803825897977,0.9863431531865114,0.9599677202620498,0.9847705270334418,True
1015,dual_pole,0.058383253944377024,0.003405704547911934,11.846407673510006,0,1.0,0,5,1.0,0.01216337765037281,8.721761282804282e-05,0.5283730162566973,0.9805185294782982,0.9686072958434302,0.986040641953196,True
1015,recurrent,0.05513977362551949,0.003037494842251853,11.925119948803532,0,1.0,0,5,1.0,0.010279312001799103,8.677837927137261e-05,0.531940525448257,0.982483480302103,0.9682870974237393,0.9772461631493443,True
1015,no_self_model,0.04801553143874653,0.002302591466123575,11.985746702127054,0,0.6,0,5,1.0,0.009596140515587534,8.61393757944702e-05,0.5347081200247172,0.9870657434033893,0.9680753763681288,0.985652466487811,True
1015,reset_capacity_recall,0.054381529950820656,0.0029544510065703223,11.89285546339911,0,0.8,0,5,1.0,0.009599863580482107,8.638484675394522e-05,0.5304842038010047,0.9832608249739849,0.9683013722228923,0.985784015850914,True
1015,reset_gain_only_recall,0.05460277470863515,0.002978563212660284,11.889950871188494,0,0.8,0,5,1.0,0.0096002859710914,8.641421135742224e-05,0.5303522485788211,0.9831170490476515,0.9683202668003251,0.9857915692699074,True
1015,freeze_capacity_recall,0.07002195423686973,0.004900174281928595,11.715436069998496,0,0.75,1,5,0.8,0.021019220165469074,0.0019096480307889746,0.5224234641142428,0.9713212914164338,0.9694637422718052,0.9857699384787167,False
